Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,6.32904015516139,9.02990102416136,8.73914352329393,3.44637335032669,3.66485028376729,3.73297621216894,3.21176803803376,8.30165975585673,9.28010608956873,4.59356282283204
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Russian Federation,RUS,7.82341183865533,15.5344050528405,7.04244762954774,3.68332944412253,2.87829723647867,4.47036660760193,3.38165937237877,6.69445891957637,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,India,IND,6.66565671867899,4.90697344127256,4.94821634062141,3.32817337461298,3.9388264669163,3.72950573539129,6.62343677628535,5.13140747176369,6.69903414079852,5.64914318907925
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,1.92164162788521,1.43702380935655,2.00000182191943,1.59313600071436,2.07479039965576,2.89923416358227,2.41942189457782,0.981015135544882,1.97357555739051,0.234836828893051
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Africa,ZAF,6.12983770287141,4.54064227737906,6.57139642173964,5.18424664766128,4.51716522786592,4.12024587014984,3.21003597454107,4.61167217803206,7.03972661255866,6.0739085322053
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Brazil,BRA,6.755,8.538,11.58,12.792,12.33,11.936,13.697,13.159,9.231,7.95
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Russian Federation,RUS,5.16,5.571,5.559,5.212,4.846,4.496,5.589,4.715,3.867,3.325
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,India,IND,7.992,7.894,7.8,7.723,7.652,6.51,7.859,6.38,4.822,4.172
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,China,CHN,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.98,4.67
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,South Africa,ZAF,22.606,22.869,24.023,23.992,24.218,25.538,24.339,28.77,28.838,27.988
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 06/28/2024,,,,,,,,,,,,,
